Hospital Name,Address,Latitude,Longitude,Verified Address
Escorts Heart Institute & Research Center,"Okhla Road, New Delhi-110 025",28.5606267,77.2737176,"Cabin No - 777, Metro Station Sukhdev Vihar, Okhla Rd, New Friends Colony, New Delhi, Delhi 110025, India"
Jaipur Golden Hospital,"2, Institutional Area, Sec.3, Rohini, New Delhi-110085",28.697727,77.1093369,"2, Institutional Area, Rohini, New Delhi, Delhi, 110085, India"
Moolchand Khairati Ram Hospital & Ayurvedic Research Institute,"Lajpat Nagar - III, New Delhi-24",28.56458454,77.24095578,"1st, Ring Rd, Nirmal Puri, Nirmal Colony, Block 6, Lajpat Nagar IV, Lajpat Nagar, Delhi, New Delhi, Delhi 110024, India"
R.G. Stone Urology & Laparoscopy Hospital (A unit of R.G. Scientific Enterprises Ltd.),"F-12, East of Kailash, New Delhi- 110065",13.0240842,80.227524,"391-92, Anna Salai, Railway Station Ln, near New Metro, Periyapet, Saidapet, Chennai, Tamil Nadu 600015, India"
Indraprastha Apollo Hospital,Mathura Road Sarita Vihar New Delhi-110076,28.5413093,77.2832182,"Inderprastha Apollo Hospital, Sarita Vihar, Jasola Vihar, New Delhi, Delhi 110076, India"
Max Smart Super Speciality Hospital (A Unit of Gujarmal Modi Hospital & Research Centre for Medical Sciences),"Mandir Marg, Press Enclave Road, Saket, New Delhi - 110017",28.52795132,77.21497449,"Saket M Block, Saket, New Delhi, Delhi 110017, India"
Max Super Specialty Hospital (A Unit of Max Healthcare Institute Limited),"1, Press Enclave Road (West Block), Saket, New Delhi, PIN-110017",28.527549,77.2119946,"1, Press Enclave Marg, Saket Institutional Area, Saket, New Delhi, Delhi 110017, India"
Flt. Lt. Rajan Dhall Charitable Trust,"Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj, New Delhi-110070",28.5194391,77.1604048,"1/1426, Shanti Kunj B Block, Pocket 1, Anand Gram, Vasant Kunj, New Delhi, Delhi 110070, India"
Shroff Eye Centre,"A-9, Kailash Colony, New Delhi-110048",28.5541822,77.242973,"A-9, Lala Lajpat Rai Rd, Block A, Kailash Colony, Greater Kailash, New Delhi, Delhi 110048, India"
Dharamshila Rahat Medical Center (A Unit of Dharamshila Cancer Foundation & Research Center),"Service Center No. 11, Pocket-11A, Near New Ashok Nagar Police Station, Vasundhara Enclave, Delhi-110096",28.6026628,77.3142,"Dharamshila Narayana Superspeciality Hospital Multi Opd, DHARAMSHILA NARAYANA SUPERSPECIALITY HOSPITAL, Vasundhara Enclave, Delhi, 110096, India"
Sri Balaji Action Medical Institute (A unit of Munni Lal Mange Ram Charitable Trust),"A-4, Pashchim Vihar, New Delhi-110063",28.679503,77.0896819,"8-A, Block A 2, Mianwali Nagar, Paschim Vihar, New Delhi, Delhi, 110027, India"
Batra Hospital and Medical Research Centre,"1, Tughlakabad Institutional Area, Mehrauli Badarpur Road, New Delhi - 110062",28.5123026,77.2447423,"2nd Floor, 50 (B&C, Mehrauli - Badarpur Rd, Tughlakabad Institutional Area, Vayusenabad, New Delhi, Delhi 110062, India"
Max Multi-Specialty Centre (A Unit of Max Healthcare Institute Limited),"N-110, Panchsheel Park, New Delhi-110017",28.5415056,77.216085,"S 98, Block S, Panchsheel Park South, Panchsheel Park, New Delhi, Delhi 110017, India"
Sitaram Bhartia Institute of Science & Reasearch,"B-16, Kutub Institutional Area, New Delhi-110016",28.5378442,77.184667,"B-16, Qutab Institutional Area Block B Rd, NRPC Colony, Block B, Qutab Institutional Area, New Delhi, Delhi 110016, India"
Eye 7 Hospitals Pvt. Limited,"34, Lajpat Nagar IV, Main Ring Road, New Delhi-110024",28.5651793,77.2488957,"Block P, 34, Mahatma Gandhi Rd, Block P, Lajpat Nagar IV, Lajpat Nagar, New Delhi, Delhi 110024, India"
Venkateshwar Hospital,"Sector-18A, Dwarka, New Delhi - 110075",28.5887118,77.0375561,"H2QQ+F2 Delhi, India"
Indian Spinal Injuries Centre,"Sector-C, Vasant Kunj, New Delhi-110070",28.5331416,77.142131,"C10/1, IAA Colony, Sector D, Vasant Kunj, New Delhi, Delhi 110070, India"
"Max Super Speciality Hospital, (A unit of Balaji Medical and Diagnostic Research Centre)","108A, Indraprastha Extension, Patparganj, New Delhi-110092",28.6332435,77.3024613,"LGF10, I.P.Extension, Patparganj, New Delhi, Delhi, 110092, India"
Fortis Hospital,"Block-A, Shalimar Bagh, New Delhi-110088",28.7174539,77.1560658,"P594+2GF, Block A, Police Colony, Shalimar Bagh, New Delhi, Delhi, 110088, India"
Dr. B. L. Kapoor Memorial Hospital (A Unit of Lahore Hospital Society),"Pusa Road, New Delhi-110005",28.6287998,77.2347996,"34, Babar Rd, Near Cancer Detection Centre, Bengali Market, Todermal Road Area, Mandi House, New Delhi, Delhi 110001, India"
Centre For Sight,"B - 5/24, Safdarjung Enclave, New Delhi-110029",28.5600257,77.191028,"B5/24, Safdarjung Enclave, opposite Deer Park, Humayunpur, Safdarjung Enclave, New Delhi, Delhi 110029, India"
Dharamshila Narayana Superspeciality Hospital,"Dharamshila marg, Vasundhara Enclave, Delhi 110096",28.6026423,77.3143141,"Dharamshila Narayana Superspeciality Hospital Multi Opd, DHARAMSHILA NARAYANA SUPERSPECIALITY HOSPITAL, Vasundhara Enclave, Delhi, 110096, India"
Ayushman Hospital and Health Services,"Sector-10, Dwarka, New Delhi-110075",28.5849492,77.0582844,"H3M5+X8F, Sector 10 Dwarka, Dwarka, Delhi, 110075, India"
Kailash Deepak Hospital (A unit of Deepak Gupta Memorial Foundation),"5 & 6 Institutional Area, Vikas Marg, Extension-II, Delhi-110092",28.6449601,77.3011881,"5, Vikas Marg, Institutional Area, Anand Vihar, New Delhi, Delhi, 110092, India"
Rajiv Gandhi Cancer Institute (A unit of Indraprastha Cancer Society & Research Centre),"D-18, Sector 5, Rohini, New Delhi, PIN-110085",28.7163446,77.1115693,"Rajeev Gandhi Cancer Hospital Rd, Rohini Institutional Area, Sector 5, Rohini, Delhi, 110085, India"
Max Super Specialty Hospital (A Unit of Devki Devi Foundation),"2, Press Enclave Road (East Block), Saket, New Delhi - 110017",28.5276057,77.2119684,"2, Press Enclave Rd, Saket Institutional Area, Saket, New Delhi, Delhi 110017, India"
